contamination,delay,family,flows,mean_static_f1,mean_adaptive_f1,mean_gain,positive_run_fraction,runs
0.0,1,BENIGN,6555525,0.11416187419972193,0.12276026455771546,0.008598390357993545,1.0,5
0.0,1,Bot,9830,0.18646046490019122,0.17726065972618915,-0.00919980517400205,0.0,5
0.0,1,DDoS,640135,0.0002495364086358222,0.0003181101254235303,6.857371678770808e-05,1.0,5
0.0,1,DoS GoldenEye,51465,0.010108391857247222,0.012968529290678566,0.0028601374334313407,0.4,5
0.0,1,DoS Hulk,1155365,0.4491996483990116,0.44992540042826173,0.000725752029250204,1.0,5
0.0,1,DoS Slowhttptest,27495,0.010062893081761006,0.010062893081761006,0.0,0.0,5
0.0,1,DoS slowloris,28980,0.4919918879133764,0.4919918879133764,0.0,0.0,5
0.0,1,Heartbleed,55,0.0,0.0,0.0,0.0,5
0.0,1,Infiltration,180,0.003038619876049471,0.0028535749409572065,-0.00018504493509226465,0.0,5
0.0,1,PortScan,794650,0.8309083921748968,0.8569408575412579,0.02603246536636139,1.0,5
0.0,1,Web Attack � Brute Force,7535,0.09563847577207663,0.11343641524723798,0.017797939475161343,1.0,5
0.0,1,Web Attack � Sql Injection,105,0.1387615361855731,0.12676805513934672,-0.011993481046226395,0.0,5
0.0,1,Web Attack � XSS,3260,0.03893603028437682,0.036287770383302685,-0.0026482599010741277,0.0,5
0.0,5,BENIGN,6555525,0.11416187419972193,0.12254687308178872,0.008384998882066775,1.0,5
0.0,5,Bot,9830,0.18646046490019122,0.17744496060386958,-0.009015504296321624,0.0,5
0.0,5,DDoS,640135,0.0002495364086358222,0.0003025220272917555,5.298561865593333e-05,1.0,5
0.0,5,DoS GoldenEye,51465,0.010108391857247222,0.012969365734105768,0.0028609738768585425,0.4,5
0.0,5,DoS Hulk,1155365,0.4491996483990116,0.449898917885033,0.0006992694860214144,1.0,5
0.0,5,DoS Slowhttptest,27495,0.010062893081761006,0.010062893081761006,0.0,0.0,5
0.0,5,DoS slowloris,28980,0.4919918879133764,0.4919918879133764,0.0,0.0,5
0.0,5,Heartbleed,55,0.0,0.0,0.0,0.0,5
0.0,5,Infiltration,180,0.003038619876049471,0.002856415560354005,-0.00018220431569546583,0.0,5
0.0,5,PortScan,794650,0.8309083921748968,0.856840411850756,0.02593201967585934,1.0,5
0.0,5,Web Attack � Brute Force,7535,0.09563847577207663,0.11302676969782266,0.017388293925746034,1.0,5
0.0,5,Web Attack � Sql Injection,105,0.1387615361855731,0.12712525113484058,-0.011636285050732526,0.0,5
0.0,5,Web Attack � XSS,3260,0.03893603028437682,0.03631052694208899,-0.0026255033422878187,0.0,5
0.4,1,BENIGN,6555525,0.11416187419972193,0.1222934711585432,0.00813159695882125,1.0,5
0.4,1,Bot,9830,0.18646046490019122,0.17825368764994443,-0.008206777250246771,0.0,5
0.4,1,DDoS,640135,0.0002495364086358222,0.00028069343760753305,3.1157028971710786e-05,1.0,5
0.4,1,DoS GoldenEye,51465,0.010108391857247222,0.010045875755524571,-6.251610172265249e-05,0.0,5
0.4,1,DoS Hulk,1155365,0.4491996483990116,0.4496435788822337,0.00044393048322208804,0.8,5
0.4,1,DoS Slowhttptest,27495,0.010062893081761006,0.010062893081761006,0.0,0.0,5
0.4,1,DoS slowloris,28980,0.4919918879133764,0.4919918879133764,0.0,0.0,5
0.4,1,Heartbleed,55,0.0,0.0,0.0,0.0,5
0.4,1,Infiltration,180,0.003038619876049471,0.002859288123132173,-0.0001793317529172978,0.0,5
0.4,1,PortScan,794650,0.8309083921748968,0.8577813761470303,0.026872983972133734,1.0,5
0.4,1,Web Attack � Brute Force,7535,0.09563847577207663,0.1144314859094441,0.018793010137367474,1.0,5
0.4,1,Web Attack � Sql Injection,105,0.1387615361855731,0.12677544356380394,-0.011986092621769162,0.0,5
0.4,1,Web Attack � XSS,3260,0.03893603028437682,0.036560527726128965,-0.0023755025582478523,0.0,5
0.4,5,BENIGN,6555525,0.11416187419972193,0.12111581779178567,0.006953943592063722,1.0,5
0.4,5,Bot,9830,0.18646046490019122,0.17925505125314647,-0.0072054136470447614,0.0,5
0.4,5,DDoS,640135,0.0002495364086358222,0.0002619886934406217,1.2452284804799473e-05,0.4,5
0.4,5,DoS GoldenEye,51465,0.010108391857247222,0.010049890538686839,-5.850131856038436e-05,0.0,5
0.4,5,DoS Hulk,1155365,0.4491996483990116,0.44953673716422404,0.00033708876521241213,0.6,5
0.4,5,DoS Slowhttptest,27495,0.010062893081761006,0.010062893081761006,0.0,0.0,5
0.4,5,DoS slowloris,28980,0.4919918879133764,0.4919918879133764,0.0,0.0,5
0.4,5,Heartbleed,55,0.0,0.0,0.0,0.0,5
0.4,5,Infiltration,180,0.003038619876049471,0.0028694914864161466,-0.00016912838963332454,0.0,5
0.4,5,PortScan,794650,0.8309083921748968,0.856578021692423,0.025669629517526382,1.0,5
0.4,5,Web Attack � Brute Force,7535,0.09563847577207663,0.11441245675999465,0.018773980987918028,1.0,5
0.4,5,Web Attack � Sql Injection,105,0.1387615361855731,0.12749240121580546,-0.011269134969767646,0.0,5
0.4,5,Web Attack � XSS,3260,0.03893603028437682,0.036636471230457615,-0.002299559053919202,0.0,5
