family,flows,mean_static_f1,mean_adaptive_f1,mean_gain,positive_run_fraction,run_count
BENIGN,26222100,0.1141618741997219,0.12217910664745826,0.008017232447736323,1.0,20
DoS Hulk,4621460,0.44919964839901166,0.4497511585899381,0.0005515101909265296,0.85,20
PortScan,3178600,0.8309083921748966,0.8570351668078668,0.026126774632970213,1.0,20
DDoS,2560540,0.00024953640863582225,0.00029082857094086016,4.1292162305037917e-05,0.85,20
DoS GoldenEye,205860,0.010108391857247226,0.011508415329748934,0.001400023472501712,0.2,20
DoS slowloris,115920,0.49199188791337634,0.49199188791337634,0.0,0.0,20
DoS Slowhttptest,109980,0.010062893081761006,0.010062893081761006,0.0,0.0,20
Bot,39320,0.18646046490019122,0.1780535898082874,-0.008406875091903802,0.0,20
Web Attack � Brute Force,30140,0.09563847577207665,0.11382678190362487,0.018188306131548218,1.0,20
Web Attack � XSS,13040,0.03893603028437682,0.03644882407049457,-0.00248720621388225,0.0,20
Infiltration,720,0.0030386198760494706,0.0028596925277148827,-0.0001789273483345882,0.0,20
Web Attack � Sql Injection,420,0.1387615361855731,0.12704028776344917,-0.011721248422123933,0.0,20
Heartbleed,220,0.0,0.0,0.0,0.0,20
